doc,severity,finding,status,note,file,test
01_BroadMarketEngine.md,critical,Delegatecall to Untrusted Module Contracts via setSelectorModule,governance risk,"Equivalent to admin/module trust boundary; requires governance/model redesign, not localized patch.",MarketEngineDispatcher.sol,
01_BroadMarketEngine.md,high,Oracle Confidence Validation Insufficient for Small Prices,already fixed,Current confidence enforcement has floor semantics and is covered by oracle tests.,src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/core/MarketEngineManualTypes.t.sol;test/engine/rolling/MarketEngineRollingOracle.t.sol
01_BroadMarketEngine.md,high,Inconsistent Yield Router Failure Handling Between Manual and Rolling Modes,already fixed,Cancel/resolve paths use soft-failure handling with events rather than bricking lifecycle progress.,src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol,test/engine/security/MarketEngineLifecycleSecurity.t.sol;test/engine/core/MarketEngineYieldRouting.t.sol
01_BroadMarketEngine.md,high,Unchecked Return Value from Yield Router depositScaled,false positive,Current engine accounting uses balance-delta or explicit failure handling rather than blindly trusting router return values where it matters.,src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol,test/engine/core/MarketEngineYieldRouting.t.sol
01_BroadMarketEngine.md,high,Potential Storage Collision in Delegatecall Modules,duplicate,Overlaps with the dispatcher/module trust-boundary findings already captured elsewhere.,MarketEngineDispatcher.sol,
01_BroadMarketEngine.md,medium,Missing Validation of Array Lengths in Batch Operations,already fixed,Batch operations already validate sizes/length mismatches.,src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol,test/engine/core/MarketEngineCoreLifecycleBranches.t.sol;test/engine/core/MarketEngineUserOpsClaimsBranches.t.sol
01_BroadMarketEngine.md,medium,Insufficient Validation of Oracle Monotonicity for Round ID Zero,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
01_BroadMarketEngine.md,medium,Missing Validation of Epoch Timing Constraints,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
01_BroadMarketEngine.md,medium,Missing Validation of Template Configuration Parameters,duplicate,Broad or overlapping medium finding not treated as a distinct unresolved code bug after reconciliation.,MarketEngineCoreLifecycleModule.sol,
01_BroadMarketEngine.md,low,Potential Integer Overflow in Yield Fee Calculation,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineCoreLifecycleModule.sol,
01_BroadMarketEngine.md,low,Missing Validation of Outcome Index in Position Operations,false positive,Current code validates bounds before any unsafe position access; remaining concern is gas only.,src/engine/modules/MarketEngineUserOpsClaimsModule.sol,test/engine/core/MarketEngineUserOpsClaimsBranches.t.sol:test_switchSide_reverts_when_outcome_index_exceeds_max_outcomes
01_BroadMarketEngine.md,low,Potential DoS via Large User Epoch Array Growth,governance risk,Low-severity design/ops issue not treated as a required code patch in this reconciliation.,MarketEngineUserOpsClaimsModule.sol,
01_BroadMarketEngine.md,informational,Floating Pragma Version Allows Inconsistent Compiler Behavior,false positive,Repo uses pinned Solidity version `0.8.24`.,IMarketEngine.sol,
02_BroadInterfaces.md,critical,Unexpected ecrecover Null Address Vulnerability in Event Oracle Signature Verification,already fixed,Current reporter adapter uses OZ ECDSA recovery and zero-address reporter is forbidden.,src/oracle/TrustedReporterAdapter.sol,test/adapters/TrustedReporterAdapter.t.sol:test_RevertWhen_resolve_malformedSignature_invalidV_attackerCannotSpoof
02_BroadInterfaces.md,critical,Insufficient Access Control on IYieldRouter State-Changing Functions,duplicate,Overlapping or non-canonical finding from broad Hashlock coverage.,IYieldRouter.sol,
02_BroadInterfaces.md,critical,Centralized Trusted Reporter Single Point of Failure in IEventOracle,governance risk,Architectural trust/governance risk remains; not eliminated by code-level remediation.,IEventOracle.sol,
