doc,severity,finding,status,note,file,test
"01_BroadMarketEngine.md","high","Oracle Confidence Validation Insufficient for Small Prices","already fixed","Current confidence enforcement has floor semantics and is covered by oracle tests.","src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/core/MarketEngineManualTypes.t.sol;test/engine/rolling/MarketEngineRollingOracle.t.sol"
"01_BroadMarketEngine.md","high","Inconsistent Yield Router Failure Handling Between Manual and Rolling Modes","already fixed","Cancel/resolve paths use soft-failure handling with events rather than bricking lifecycle progress.","src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineLifecycleSecurity.t.sol;test/engine/core/MarketEngineYieldRouting.t.sol"
"01_BroadMarketEngine.md","medium","Missing Validation of Array Lengths in Batch Operations","already fixed","Batch operations already validate sizes/length mismatches.","src/engine/MarketEngineState.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol","test/engine/core/MarketEngineCoreLifecycleBranches.t.sol;test/engine/core/MarketEngineUserOpsClaimsBranches.t.sol"
"02_BroadInterfaces.md","critical","Unexpected ecrecover Null Address Vulnerability in Event Oracle Signature Verification","already fixed","Current reporter adapter uses OZ ECDSA recovery and zero-address reporter is forbidden.","src/oracle/TrustedReporterAdapter.sol","test/adapters/TrustedReporterAdapter.t.sol:test_RevertWhen_resolve_malformedSignature_invalidV_attackerCannotSpoof"
"03_ResolverBroadMarket.md","high","Composite Market Uses Single Threshold for All Feeds - Critical Logic Error","already fixed","Current composite templates support per-feed thresholds and are covered by market-type tests.","src/types/MarketTypes.sol","test/markettype/MarketTypeAll15.t.sol:test_marketType_08b_composite_perFeedThresholds_majority"
"04_MarketEngineState.md","high","Reentrancy in _balanceDeltaAfterWithdrawScaled via Malicious/Compromised Yield Router","already fixed","Current external entrypoints invoking router interactions are `nonReentrant`; tested malicious-router paths are blocked or degraded safely.","src/engine/modules/MarketEngineUserOpsClaimsModule.sol;src/engine/modules/MarketEngineCoreLifecycleModule.sol;src/engine/modules/MarketEngineRollingLifecycleModule.sol","test/engine/security/MarketEngineReentrancy.t.sol"
"04_MarketEngineState.md","high","Vault Active Balance Can Underflow if claimLiabilityTotal + settlementFeeTotal Exceeds Active Balance","already fixed","Current resolve accounting performs explicit active-vault sufficiency checks before deductions.","src/engine/MarketEngineState.sol","test/engine/core/MarketEngineDispatcher.t.sol"
"04_MarketEngineState.md","high","Single-Threshold Used for All Composite Feeds - Incorrect Settlement for Multi-Feed Markets","already fixed","Current composite templates support per-feed thresholds and are covered by market-type tests.","src/types/MarketTypes.sol","test/markettype/MarketTypeAll15.t.sol:test_marketType_08b_composite_perFeedThresholds_majority"
"04_MarketEngineState.md","high","nowTs Parameter in IPriceOracle Can Be Spoofed by Callers to Bypass Staleness Checks","already fixed","Current adapter path rejects stale data and does not allow practical spoofed freshness in this repo.","src/adapters/ChainlinkAdapter.sol","test/adapters/ChainlinkAdapter.t.sol:test_revert_stale_even_if_caller_passes_fake_recent_nowTs"
"04_MarketEngineState.md","high","Uninitialized UUPS Proxy Attack Vector - Admin Address Defaults to address(0)","already fixed","Dispatcher constructor disables initializers and admin checks require initialization.","src/engine/MarketEngineDispatcher.sol","test/engine/core/MarketEngineManualTypes.t.sol:test_initialize_reverts_on_zero_addresses"
